ROWID,PRODUCT_ID,CUSTOMER_ID,PRICE,QUANTITY,TIMESTAMP
12290,6715,80213,,1,2024-04-08 00:43:30.069952
12291,6269,17415,,3,2024-04-08 00:43:30.138911
12292,8494,15900,,5,2024-04-08 00:43:30.207437
12293,6026,65437,,1,2024-04-08 00:43:30.275974
12294,6052,28973,,2,2024-04-08 00:43:30.344152
12295,5637,77271,,2,2024-04-08 00:43:30.412311
12296,8490,78795,,2,2024-04-08 00:43:30.480456
12297,8637,86725,,1,2024-04-08 00:43:30.548607
12298,6414,1190,,2,2024-04-08 00:43:30.617167
12299,7588,78078,,5,2024-04-08 00:43:30.685582
12300,7772,53878,,3,2024-04-08 00:43:30.753879
12301,6323,63003,,1,2024-04-08 00:43:30.822099
12302,8353,36311,,1,2024-04-08 00:43:30.890479
12303,7870,43304,,1,2024-04-08 00:43:30.958905
12304,6370,56724,,5,2024-04-08 00:43:31.027199
12305,6964,71023,,2,2024-04-08 00:43:31.095535
12306,7727,88294,,1,2024-04-08 00:43:31.164321
12307,6650,46828,,4,2024-04-08 00:43:31.232805
12308,7893,88087,,2,2024-04-08 00:43:31.301257
12309,7342,23524,,1,2024-04-08 00:43:31.369506
12310,8245,49163,,3,2024-04-08 00:43:31.439004
12311,5902,17477,,1,2024-04-08 00:43:31.507316
12312,5994,85325,,2,2024-04-08 00:43:31.575612
12313,7376,68462,,3,2024-04-08 00:43:31.643954
12314,6318,74629,,4,2024-04-08 00:43:31.712099
12315,7699,27229,,1,2024-04-08 00:43:31.780765
12316,8380,53579,,1,2024-04-08 00:43:31.849186
12317,8043,3236,,1,2024-04-08 00:43:31.917449
12318,8071,80301,,4,2024-04-08 00:43:31.98597
12319,8379,26809,,2,2024-04-08 00:43:32.054593
12320,7585,62897,,4,2024-04-08 00:43:32.122901
12321,7895,82319,,1,2024-04-08 00:43:32.191011
12322,8355,29600,,5,2024-04-08 00:43:32.259342
12323,8337,75951,,1,2024-04-08 00:43:32.327418
12324,8811,24861,,2,2024-04-08 00:43:32.395769
12325,7183,69258,,4,2024-04-08 00:43:32.464226
12326,7380,81887,,1,2024-04-08 00:43:32.532523
12327,7600,84100,,4,2024-04-08 00:43:32.600822
12328,8680,70495,,5,2024-04-08 00:43:32.668883
12329,6074,68608,,2,2024-04-08 00:43:32.736924
12330,8007,60809,,3,2024-04-08 00:43:32.805265
12331,7778,84871,,4,2024-04-08 00:43:32.873955
12332,6269,4534,,5,2024-04-08 00:43:32.942332
12333,7173,65829,,4,2024-04-08 00:43:33.010613
12334,8344,82417,,2,2024-04-08 00:43:33.078715
12335,8556,77249,,3,2024-04-08 00:43:33.147169
12336,6236,88478,,4,2024-04-08 00:43:33.21523
12337,8665,45193,,5,2024-04-08 00:43:33.285889
12338,6833,20682,,3,2024-04-08 00:43:33.35401
12339,7244,23786,,1,2024-04-08 00:43:33.422548
12340,8275,54244,,5,2024-04-08 00:43:33.490932
12341,6963,62910,,4,2024-04-08 00:43:33.559461
12342,8238,49886,,2,2024-04-08 00:43:33.627941
12343,6449,61449,,3,2024-04-08 00:43:33.696355
12344,7897,14310,,1,2024-04-08 00:43:33.764855
12345,8378,53553,,4,2024-04-08 00:43:33.83337
12346,6925,36797,,1,2024-04-08 00:43:33.90177
12347,6210,26369,,3,2024-04-08 00:43:33.970309
12348,6235,24574,,5,2024-04-08 00:43:34.038748
12349,6625,36846,,5,2024-04-08 00:43:34.107143
12350,8067,36806,,1,2024-04-08 00:43:34.17567
12351,8818,45551,,2,2024-04-08 00:43:34.244114
12352,5875,52471,,2,2024-04-08 00:43:34.312552
12353,7004,20619,,2,2024-04-08 00:43:34.380893
12354,6983,62378,,5,2024-04-08 00:43:34.448999
12355,7457,65017,,3,2024-04-08 00:43:34.517242
12356,7738,30429,,3,2024-04-08 00:43:34.585511
12357,6212,58169,,5,2024-04-08 00:43:34.65362
12358,6764,71167,,3,2024-04-08 00:43:34.721914
12359,7628,29883,,1,2024-04-08 00:43:34.790027
12360,7060,76089,,4,2024-04-08 00:43:34.858032
12361,6248,74226,,5,2024-04-08 00:43:34.926156
12362,8230,54914,,1,2024-04-08 00:43:34.994602
12363,8093,74863,,2,2024-04-08 00:43:35.063102
12364,5769,59971,,5,2024-04-08 00:43:35.133501
12365,8202,88607,,1,2024-04-08 00:43:35.201853
12366,6501,56821,,2,2024-04-08 00:43:35.27008
12367,8360,33786,,2,2024-04-08 00:43:35.338292
12368,7631,86888,,2,2024-04-08 00:43:35.406657
12369,7010,80779,,2,2024-04-08 00:43:35.474992
12370,7786,82571,,5,2024-04-08 00:43:35.543433
12371,7654,41578,,2,2024-04-08 00:43:35.612069
12372,6867,37161,,5,2024-04-08 00:43:35.684164
12373,7972,46520,,4,2024-04-08 00:43:35.752154
12374,8746,4798,,4,2024-04-08 00:43:35.820561
12375,7449,87872,,5,2024-04-08 00:43:35.889148
12376,7152,11089,,4,2024-04-08 00:43:35.957595
12377,6522,80964,,4,2024-04-08 00:43:36.02594
12378,7280,44569,,5,2024-04-08 00:43:36.094182
12379,5607,42417,,5,2024-04-08 00:43:36.162497
12380,8729,24077,,5,2024-04-08 00:43:36.230534
12381,7413,70799,,5,2024-04-08 00:43:36.299315
12382,8637,28633,,1,2024-04-08 00:43:36.368477
12383,8818,13291,,1,2024-04-08 00:43:36.436722
12384,5965,63437,,5,2024-04-08 00:43:36.507285
12385,6927,31990,,4,2024-04-08 00:43:36.576107
12386,6340,69117,,3,2024-04-08 00:43:36.645018
12387,7682,9401,,2,2024-04-08 00:43:36.713685
12388,6255,83006,,3,2024-04-08 00:43:36.782835
12389,6460,5642,,4,2024-04-08 00:43:36.851596
12390,6253,31911,,4,2024-04-08 00:43:36.920307
12391,6567,53996,,5,2024-04-08 00:43:36.988857
12392,8385,46848,,2,2024-04-08 00:43:37.058279
12393,5665,83894,,2,2024-04-08 00:43:37.126908
12394,8546,21861,,2,2024-04-08 00:43:37.195365
12395,6199,6979,,1,2024-04-08 00:43:37.264133
12396,8270,49730,,1,2024-04-08 00:43:37.332655
12397,7157,87259,,3,2024-04-08 00:43:37.401444
12398,6654,76310,,4,2024-04-08 00:43:37.470165
12399,5801,83571,,3,2024-04-08 00:43:37.538653
12400,5973,35822,,4,2024-04-08 00:43:37.607245
12401,7319,13551,,3,2024-04-08 00:43:37.677237
12402,7393,5566,,2,2024-04-08 00:43:37.746227
12403,8691,5217,,5,2024-04-08 00:43:37.814988
12404,6292,12572,,1,2024-04-08 00:43:37.883601
12405,6729,76399,,4,2024-04-08 00:43:37.952349
12406,8414,22759,,3,2024-04-08 00:43:38.021618
12407,8401,2226,,3,2024-04-08 00:43:38.09039
12408,8619,34285,,3,2024-04-08 00:43:38.158839
12409,7323,51837,,2,2024-04-08 00:43:38.227314
12410,7815,137,,1,2024-04-08 00:43:38.295522
12411,8578,54841,,2,2024-04-08 00:43:38.365689
12412,8750,49720,,5,2024-04-08 00:43:38.434268
12413,8928,72770,,1,2024-04-08 00:43:38.502797
12414,7960,10843,,4,2024-04-08 00:43:38.571024
12415,7748,63277,,1,2024-04-08 00:43:38.639522
12416,6568,68234,,1,2024-04-08 00:43:38.708396
